I1,I2,I3
0.92,0,-0.054
1.379,0,0.206
1.15,0.015,0.112
0.689,0.015,0.114
0.92,0.015,0.194
1.15,0.015,0.277
1.61,-0.022,0.195
0.919,0,0.195
1.148,0,0.276
1.151,0.015,0.348
1.15,0.015,0.27
0.92,0.015,0.348
0.689,0,0.27
0.459,0,0.348
0.689,0,0.348
1.38,0.015,0.424
1.148,0.015,0.425
1.38,-0.022,0.425
1.379,0,0.427
1.38,0,0.427
1.148,0.015,0.425
0.92,0.015,0.425
1.151,0,0.425
0.689,0,0.347
0.92,0,0.425
0.92,0,0.503
1.379,0.015,0.58
1.38,0.015,0.581
0.92,0,0.658
1.15,0,0.657
1.15,0,0.581
1.15,0,0.503
0.92,0,0.581
0.689,0.015,0.582
1.379,0.015,0.504
1.15,0.015,0.581
0.689,-0.022,0.579
1.15,0,0.657
1.15,0,0.508
1.15,0,0.656
0.689,0,0.66
1.15,0.015,0.736
1.148,0,0.581
0.69,0,0.66
0.69,0,0.66
0.69,0,0.588
1.379,0,0.581
0.919,0,0.576
1.15,0,0.66
1.379,0,0.581
1.15,0,0.581
0.92,0,0.581
1.378,0,0.66
1.15,0,0.581
1.15,0,0.505
1.15,0,0.576
1.15,0,0.585
0.92,-0.022,0.583
1.379,0,0.657
1.15,0,0.58
1.379,-0.022,0.583
1.38,0,0.58
0.918,0,0.58
1.15,-0.022,0.427
1.15,-0.022,0.504
0.919,0,0.579
1.38,-0.037,0.114
1.15,-0.022,0.032
0.689,-0.022,-0.042
1.38,-0.022,0.04
0.918,0,-0.042
1.15,0,-0.042
1.15,-0.022,-0.125
0.459,-0.037,-0.042
1.15,-0.052,-0.043
0.689,-0.022,-0.103
0.689,0,-0.126
0.689,0,-0.032
0.689,0,-0.126
0.919,-0.037,-0.114
1.38,-0.052,-0.212
0.689,-0.037,-0.212
1.15,-0.037,-0.283
1.38,0,-0.198
1.15,0,-0.179
1.38,-0.052,-0.3
0.918,-0.052,-0.369
0.69,-0.067,-0.282
0.92,-0.082,-0.282
1.15,-0.082,-0.309
1.379,-0.157,-0.311
0.92,-0.209,-0.223
0.919,-0.239,-0.222
0.92,-0.082,-0.132
1.15,0.06,-0.222
0.689,0.06,-0.313
0.919,0,-0.361
1.15,-0.097,-0.416
1.15,-0.082,-0.365
1.379,-0.037,-0.509
1.379,0.03,-0.543
1.379,0,-0.543
0.69,-0.022,-0.543
0.92,-0.052,-0.598
1.379,-0.037,-0.399
0.689,-0.022,-0.454
1.148,0,-0.543
1.15,0,-0.632
1.379,0,-0.723
1.15,0,-0.543
1.15,-0.037,-0.485
0.92,-0.037,-0.543
1.378,-0.037,-0.514
0.69,-0.037,-0.454
1.15,-0.037,-0.514
0.689,-0.067,-0.45
1.15,-0.157,-0.515
1.15,-0.269,-0.426
1.38,-0.352,-0.256
1.379,-0.329,-0.261
0.919,-0.411,-0.106
1.378,-0.396,-0.188
1.15,-0.299,-0.044
0.919,-0.314,-0.06
1.15,-0.381,-0.15
0.919,-0.299,-0.004
1.15,-0.314,-0.065
1.15,-0.396,-0.059
1.15,-0.269,-0.084
1.15,-0.209,-0.116
1.61,-0.284,-0.106
1.148,-0.501,-0.099
1.379,-0.456,0.077
0.919,-0.314,0.089
0.92,-0.157,-0.095
1.38,-0.037,-0.138
0.69,0.045,-0.319
0.92,0.015,-0.497
0.92,-0.037,-0.448
1.61,-0.082,-0.505
1.15,-0.067,-0.265
0.69,0.015,-0.369
1.379,0.015,-0.366
1.15,0,-0.544
0.919,-0.037,-0.269
1.15,-0.022,-0.269
0.689,0,0.087
0.92,0,0
1.379,0.015,0.133
1.15,0.015,0.092
0.92,0.015,0.133
1.15,-0.022,0.175
0.689,0,0.265
0.689,0.015,0.223
1.15,0.03,0.314
0.689,0.03,0.223
1.378,0.015,0.133
0.689,0,0.187
0.689,0,0.313
1.15,0.015,0.223
0.689,0.045,0.278
0.92,0.045,0.28
1.15,0.045,0.31
1.381,0.105,0.282
1.15,0.172,0.3
1.378,0.232,0.281
0.689,0.187,0.198
0.69,0,0.123
1.609,-0.097,0.276
1.378,-0.052,0.35
0.69,0.075,0.432
1.379,0.09,0.428
0.689,0.045,0.366
0.92,-0.052,0.433
1.379,-0.052,0.43
0.689,0.015,0.593
0.689,0.045,0.507
1.15,0.03,0.442
1.148,0.015,0.577
1.15,-0.022,0.597
1.15,-0.022,0.597
0.92,0,0.662
1.379,0,0.515
0.689,0,0.515
0.459,0.015,0.588
1.15,0.015,0.587
1.38,0,0.587
0.919,0,0.576
1.15,0,0.537
1.15,0.015,0.598
1.15,0.045,0.599
0.92,0.03,0.599
1.382,0.06,0.599
0.92,0.09,0.427
1.15,0.172,0.477
1.379,0.374,0.345
0.92,0.404,0.206
0.92,0.277,0.085
1.15,0.172,0.161
1.38,0.202,0.247
1.379,0.262,0.154
1.15,0.202,0.171
0.919,0.075,0.231
1.15,0.03,0.348
0.689,0.075,0.437
0.919,0.187,0.388
1.15,0.344,0.267
0.919,0.344,0.212
1.379,0.307,0.117
1.609,0.307,0.128
1.38,0.277,0.049
1.38,0.232,-0.01
1.38,0.359,0.183
1.38,0.344,0.045
0.918,0.232,-0.026
1.15,0.247,0.031
0.919,0.15,0.037
1.15,-0.037,0.114
1.379,-0.097,0.262
0.46,-0.052,0.43
1.38,0.075,0.344
0.919,0.075,0.347
0.689,0,0.425
1.38,-0.082,0.27
1.379,-0.067,0.349
1.15,0.03,0.344
0.92,0,-0.033
1.15,0,-0.033
0.689,0,-0.209
0.919,-0.037,-0.126
0.689,-0.037,-0.057
0.689,-0.037,-0.114
1.379,-0.022,-0.128
0.689,0,-0.198
1.381,0,-0.297
0.689,0,-0.283
1.15,-0.037,-0.198
1.379,-0.067,-0.369
1.379,-0.067,-0.216
1.379,-0.052,-0.109
0.689,-0.052,-0.168
0.919,-0.097,-0.309
1.15,-0.157,-0.154
0.69,-0.209,-0.223
0.689,-0.224,-0.222
0.689,-0.112,-0.042
1.15,0.045,-0.453
0.459,0.075,-0.363
1.15,0.045,-0.403
0.919,-0.097,-0.686
1.15,-0.097,-0.543
0.92,-0.082,-0.454
1.379,-0.022,-0.454
0.919,0.03,-0.511
1.38,0.03,-0.543
1.15,-0.022,-0.688
1.15,-0.037,-0.601
1.15,-0.037,-0.574
0.69,-0.022,-0.454
1.15,0,-0.454
0.92,0,-0.602
1.15,0,-0.543
0.689,-0.022,-0.602
1.15,-0.052,-0.602
1.38,-0.067,-0.453
0.46,-0.097,-0.515
1.379,-0.18,-0.514
1.15,-0.284,-0.424
0.689,-0.352,-0.112
1.15,-0.352,-0.11
0.919,-0.441,-0.012
0.92,-0.396,-0.005
1.379,-0.367,0.002
0.69,-0.411,0.005
1.15,-0.269,-0.137
0.92,-0.239,-0.121
0.919,-0.284,-0.153
1.381,-0.352,-0.161
0.92,-0.254,-0.024
0.918,-0.18,-0.135
0.92,-0.284,-0.116
0.919,-0.524,-0.042
1.15,-0.471,-0.012
1.15,-0.441,0.09
1.15,-0.209,0.221
1.15,0.06,-0.19
0.919,0.172,-0.406
1.15,0.045,-0.587
1.379,-0.18,-0.367
0.689,-0.157,-0.371
1.148,-0.022,-0.316
0.69,0.09,-0.455
1.61,0.06,-0.406
1.379,-0.022,-0.546
1.378,-0.082,-0.404
1.38,-0.037,-0.37
1.15,0.03,-0.509
1.15,0.045,-0.405
0.92,0.015,-0.455
0.459,-0.052,-0.443
1.15,-0.022,-0.404
1.379,0.015,-0.317
1.15,0.015,-0.267
1.15,0.015,-0.319
1.379,-0.022,-0.319
1.15,0,-0.319
1.15,0,-0.278
0.919,0.03,0.223
0.689,0.03,0.223
1.15,0.045,0.367
1.61,0.045,0.311
1.15,0.105,0.281
1.379,0.202,0.264
1.609,0.292,0.281
0.69,0.277,0.284
1.379,0.03,0.35
1.38,-0.082,0.433
0.689,-0.067,1.198
1.379,0.075,0.662
1.381,0.135,0.669
1.379,0.172,0.557
1.379,0.262,0.513
0.919,0.479,0.347
0.689,0.449,0.323
0.459,0.434,0.009
1.38,0.434,0.256
1.15,0.262,0.259
1.15,0.247,0.347
1.15,0.389,0.336
1.379,0.374,0.516
0.69,0.374,0.277
1.15,0.434,0.631
0.459,0.606,0.317
1.15,0.688,0.28
0.92,0.666,0.269
0.689,0.449,0.236
1.148,0.449,0.333
0.689,0.434,0.323
1.379,0.561,0.306
1.379,0.651,0.367
1.148,0.703,0.111
1.15,0.636,0.189
1.379,0.651,0.098
0.92,0.86,0.219
0.919,0.86,0.059
0.92,0.621,-0.012
1.15,0.531,0.171
1.38,0.479,0.087
1.38,0.546,0.321
0.689,0.576,0.26
0.92,0.651,0.349
0.92,0.636,0.132
1.148,0.703,0.182
1.38,0.86,0.112
1.15,0.778,0.051
1.148,0.419,0.107
0.92,0.359,0.01
1.38,0.247,0.352
1.38,0.292,0.399
1.379,0.576,0.476
1.15,0.763,0.197
1.15,0.748,0.187
0.919,0.793,-0.138
1.15,0.763,-0.222
1.15,0.703,-0.038
1.148,0.434,0.037
0.92,0.187,0.211
1.15,0.09,0.48
1.15,0.172,0.57
0.919,0.404,0.557
1.379,0.419,0.394
1.38,0.561,0.242
1.15,0.606,0.221
0.689,0.718,0.039
0.919,0.636,-0.029
1.15,0.516,-0.04
1.15,0.531,-0.098
1.148,0.591,-0.043
0.919,0.404,-0.039
0.69,0.202,-0.021
1.38,-0.022,0.2
1.15,-0.112,0.435
0.69,-0.067,0.569
1.15,0.075,0.576
1.15,0.105,0.522
1.381,0.045,0.35
1.61,-0.067,0.399
1.381,-0.097,0.505
0.92,0.06,-0.223
1.379,0.12,-0.369
1.379,0,-0.514
1.38,-0.18,-0.583
0.919,-0.142,-0.494
1.15,-0.022,-0.494
0.92,0.06,-0.494
1.15,0.03,-0.717
1.15,-0.082,-0.765
1.378,-0.097,-0.764
0.919,-0.082,-0.723
0.689,-0.067,-0.865
1.379,-0.097,-0.668
1.379,-0.224,-0.602
1.15,-0.426,-0.583
1.378,-0.583,-0.35
1.379,-0.711,-0.326
1.15,-0.658,0.016
1.38,-0.628,-0.07
0.689,-0.471,-0.066
0.689,-0.524,-0.238
1.15,-0.524,-0.2
0.69,-0.598,-0.269
1.151,-0.524,-0.281
1.38,-0.441,-0.228
1.38,-0.299,-0.227
1.38,-0.254,-0.52
1.378,-0.367,-0.513
1.15,-0.501,-0.602
1.15,-0.673,-0.438
0.92,-0.755,-0.25
1.61,-0.77,-0.083
1.379,-0.658,-0.021
0.459,-0.673,-0.112
1.15,-0.913,-0.073
1.15,-0.868,-0.101
0.919,-0.568,-0.033
1.15,-0.486,-0.112
0.689,-0.539,-0.286
1.15,-0.613,-0.277
1.379,-0.613,-0.226
1.381,-0.628,-0.215
1.15,-0.755,-0.2
1.15,-0.785,-0.116
1.15,-0.853,-0.046
0.689,-0.643,-0.048
1.15,-0.426,-0.046
1.381,-0.381,-0.364
0.69,-0.367,-0.361
1.378,-0.554,-0.348
1.15,-0.643,-0.242
1.15,-0.741,-0.237
1.609,-0.696,-0.038
1.38,-0.711,-0.087
1.61,-0.815,0.044
1.379,-0.673,-0.001
1.378,-0.396,0.048
1.38,-0.127,-0.039
1.379,-0.082,-0.344
1.379,-0.112,-0.499
1.15,-0.352,-0.502
1.379,-0.411,-0.414
1.381,-0.568,-0.148
1.15,-0.583,-0.089
1.379,-0.673,0.085
0.92,-0.628,0.112
0.92,-0.628,0.122
1.38,-0.411,0.277
1.15,-0.411,0.12
1.38,-0.441,0.044
1.15,-0.329,0.043
1.611,-0.269,-0.089
1.379,-0.209,-0.048
1.15,-0.067,0.005
1.15,0.03,-0.228
0.92,0,-0.269
1.15,-0.052,-0.355
0.689,-0.037,-0.317
0.919,0.045,-0.317
1.15,-0.022,0.739
1.15,0.105,0.663
1.15,0.135,0.656
0.919,0.172,0.555
0.92,0.307,0.48
0.919,0.531,0.403
1.379,0.479,0.323
0.689,0.449,0.234
1.15,0.277,0.237
0.92,0.135,0.38
0.92,0.15,0.616
1.609,0.389,0.392
1.148,0.516,0.344
1.379,0.449,0.2
1.38,0.464,0.371
0.92,0.516,0.228
1.15,0.636,0.259
1.15,0.666,0.262
1.379,0.546,0.256
0.919,0.494,0.244
0.69,0.434,0.278
1.61,0.576,0.306
0.92,0.636,0.408
1.379,0.666,0.388
1.379,0.621,0.031
0.92,0.636,0.129
0.919,0.845,0.043
0.689,0.86,0.039
1.379,0.636,-0.018
0.69,0.561,0.082
1.38,0.464,0.162
0.459,0.531,0.322
1.379,0.516,0.258
1.15,0.666,0.212
1.379,0.621,0.201
1.15,0.666,0.277
0.919,0.845,0.012
0.92,0.808,-0.016
1.379,0.479,0.109
0.69,0.404,0.186
0.689,0.389,0.321
0.689,0.576,0.389
0.918,0.666,0.151
1.15,0.763,0.197
1.15,0.748,0.121
1.151,0.733,-0.046
0.92,0.718,-0.042
0.919,0.591,-0.021
0.689,0.359,0.123
1.15,0.217,0.339
