I1,I2,I3
1.57,0,-0.039
1.962,0,0.043
1.65,0,0.099
1.367,0,0.034
1.251,0,0.034
1.251,0,0.026
1.25,0,-0.112
1.57,0,0.034
1.846,0,0.034
1.766,0,-0.039
1.65,0,0.026
1.846,0,0.034
1.57,0,0.034
1.57,0,0.026
1.846,0,-0.112
1.65,0,0.034
1.57,0,0.034
1.57,0,-0.031
2.042,0,-0.031
1.766,0,-0.056
1.766,0,-0.039
1.766,0,0.043
1.846,0,0.099
1.65,0,-0.039
1.17,0,0.107
1.846,0,-0.039
1.57,0,0.034
1.366,0,-0.129
1.57,0,0.026
1.846,0,0.099
1.65,0,0.107
1.766,0,0.026
1.65,0,0.116
1.447,0,0.034
1.446,0,0.034
1.57,0,0.026
1.65,0,0.043
1.65,0,0.107
1.767,0,0.034
1.367,0,0.026
1.65,0,0.034
1.962,0,0.099
1.65,0,0.107
1.65,0,0.034
1.766,0,0.034
1.846,0,0.107
1.962,0,-0.039
1.65,0,0.034
1.57,0,0.043
1.57,0,0.034
1.65,0,0.034
1.65,0,0.116
1.962,0,-0.031
2.246,0,0.034
1.57,0,-0.031
1.447,0,0.043
1.447,0,0.107
1.171,0,0.034
1.57,0,0.034
1.367,0,-0.112
1.447,0,0.099
1.447,0,0.034
1.25,0,0.034
1.366,0,0.034
1.65,0,-0.039
1.446,0,0.116
1.447,0,0.116
1.367,0,0.026
1.65,0,0.026
1.57,0,0.189
1.57,0,0.034
1.447,0,0.107
1.65,0,0.034
1.25,0,0.043
1.447,0,0.043
1.17,0,0.107
1.171,0,0.107
1.846,0,0.043
1.766,0,-0.031
2.042,0,0.043
1.766,0,0.026
1.766,0,0.107
1.367,0,0.043
1.25,0,0.043
1.251,0,0.034
1.367,0,0.034
1.171,0,0.034
1.367,0,0.107
1.446,0,0.043
1.57,0,0.026
1.57,0,0.034
1.447,0,0.026
1.447,0,0.043
1.57,0,-0.104
1.447,0,0.034
1.367,0,-0.039
1.366,0,0.043
1.251,0,0.116
1.366,0,0.172
1.054,0,0.043
1.447,0,0.107
1.447,0,0.043
1.446,0,-0.039
1.367,0,0.116
1.57,0,0.043
1.366,0,0.034
1.367,0,-0.048
1.25,0,0.043
1.447,0,0.034
1.055,0,0.034
1.17,0,-0.039
1.25,0,0.034
1.57,0,0.034
1.251,0,-0.039
1.17,0,0.107
1.17,0,0.034
1.054,0,0.034
1.055,0,-0.031
1.251,0,-0.039
1.171,0,-0.039
1.65,0,0.034
1.446,0,0.034
1.447,0,0.034
1.57,0,0.043
1.65,0,0.034
1.367,0,0.034
1.447,0,0.034
1.251,0,-0.048
1.57,0,0.043
1.25,0,0.043
1.57,0,0.034
1.766,0,-0.132
1.57,0,0.034
1.367,0,0.034
1.57,0,0.116
1.57,0,0.034
1.846,0,0.043
1.171,0,0.034
1.57,0,0.034
1.17,0,0.034
1.446,0,0.026
1.251,0,0.043
1.446,0,0.116
1.57,0,0.034
1.57,0,0.034
1.65,0,0.026
2.043,0,0.107
1.846,0,0.026
1.846,0,0.034
1.65,0,0.034
1.57,0,0.107
1.57,0,-0.039
1.766,0,0.043
1.447,0,-0.112
1.766,0,0.107
1.65,0,0.051
1.766,0,0.043
2.246,0,0.034
1.846,0,-0.031
1.963,0,0.034
1.767,0,0.043
1.65,0,0.034
1.65,0,0.026
1.766,0,0.034
1.847,0,0.026
1.57,0,-0.048
1.766,0,0.034
1.447,0,-0.112
1.65,0,0.026
1.65,0,-0.031
1.57,0,0.034
1.65,0,0.034
1.57,0,-0.031
1.65,0,-0.039
1.962,0,0.026
1.65,0,0.034
1.65,0,0.034
1.65,0,-0.039
1.57,0,-0.031
1.57,0,0.034
1.766,0,0.026
1.57,0,-0.039
1.367,0,-0.048
1.65,0,0.026
1.57,0,-0.048
1.17,0,0.026
2.043,0,-0.039
1.963,0,-0.048
2.042,0,-0.048
1.65,0,-0.056
1.57,0,-0.112
1.367,0,0.2
1.65,0,-0.056
1.251,0,-0.039
1.366,0,-0.048
1.446,0,0.017
1.17,0,-0.112
1.447,0,-0.039
1.57,0,-0.112
1.251,0,0.043
1.251,0,0.026
1.367,0,-0.039
1.25,0,-0.112
1.17,0,-0.039
1.447,0,-0.031
1.367,0,-0.039
1.57,0,-0.048
1.447,0,-0.031
1.446,0,0.034
1.57,0,-0.039
1.367,0,0.034
1.367,0,-0.031
1.447,0,-0.112
1.17,0,-0.048
1.57,0,-0.039
1.367,0,-0.048
1.846,0,-0.048
1.766,0,-0.048
1.65,0,0.034
1.367,0,-0.039
1.447,0,-0.048
1.447,0,-0.112
1.446,-0.314,-0.048
1.367,-0.314,-0.031
1.25,0,0.034
1.367,0,0.026
1.25,0,-0.039
1.171,0,-0.121
1.447,0,-0.039
1.367,0,0.034
1.65,0,-0.192
1.65,0,-0.112
1.846,0,-0.048
1.963,0,-0.048
1.846,0,-0.039
1.171,0,-0.121
1.766,0,-0.039
1.367,0,0.026
1.846,0,-0.048
1.847,0,-0.048
2.042,0,-0.039
1.963,0,0.017
1.962,0,-0.048
1.962,0,-0.039
1.963,0,-0.121
1.367,0,-0.121
1.65,0,-0.039
1.447,0,-0.112
1.767,0,-0.112
1.57,0,-0.048
1.846,0,-0.048
1.766,0,0.026
1.57,0,-0.039
1.447,0,-0.048
1.57,0,0.026
1.65,0,-0.048
1.447,0,-0.056
1.447,0,-0.039
1.054,0,-0.039
1.367,0,-0.039
1.766,0,-0.121
1.57,0,0.034
1.766,0,-0.048
1.846,0,-0.039
1.65,0,-0.039
1.65,0,-0.048
1.846,0,-0.112
1.57,0,-0.048
1.65,0,0.026
1.57,0,-0.112
1.57,0,-0.039
1.963,0,-0.048
1.57,0,0.034
2.167,0,-0.039
1.766,0,-0.039
1.367,0,-0.039
1.366,0,-0.112
1.17,0,-0.031
1.367,0,0.034
1.447,0,-0.039
1.367,0,-0.048
1.367,0,-0.039
1.171,0,-0.031
1.366,0,0.026
1.367,0,-0.048
1.25,0,-0.048
1.367,0,0.034
1.447,0,-0.039
1.25,0,0.034
1.251,0,-0.048
1.447,0,-0.039
1.25,0,-0.039
1.367,0,-0.039
1.251,0,-0.048
1.57,0,0.034
1.57,0,0.026
1.766,0,-0.039
1.17,0,-0.039
1.766,0,0.026
1.447,0,-0.039
1.367,0,-0.048
1.65,0,-0.112
1.447,0,0.034
1.367,0,-0.048
1.25,0,-0.112
1.25,0,-0.112
1.366,0,-0.039
1.054,0,-0.048
1.25,0,0.034
1.17,0,-0.104
1.367,0,-0.048
1.367,0,-0.039
1.055,0,-0.039
1.571,0,-0.039
1.251,0,0.026
1.57,0,0.034
1.367,0,-0.039
1.65,0,0.026
1.846,0,-0.031
1.767,0,-0.048
1.65,0,-0.039
1.17,0,0.026
1.962,0,-0.039
1.65,0,-0.048
2.166,0,-0.112
1.847,0,-0.056
1.962,0,-0.048
2.043,0,-0.039
1.65,0,-0.039
1.963,0,0.034
1.65,0,0.034
1.57,0,0.026
1.65,0,0.034
1.962,0,0.034
1.65,0,-0.022
1.766,0,0.034
1.767,0,0.034
1.447,0,0.034
1.57,0,0.043
1.447,0,-0.112
1.447,0,-0.048
1.367,0,0.034
1.366,0,0.026
1.57,0,0.043
1.65,0,0.026
1.57,0,0.034
1.767,0,-0.039
1.65,0,-0.048
1.367,0,0.034
1.571,0,0.034
2.166,0,-0.039
1.57,0,0.034
1.846,0,-0.039
1.367,0,0.026
1.447,0,0.026
1.367,0,0.107
1.65,0,0.043
1.65,0,0.099
1.846,0,0.099
1.65,0,0.034
1.446,0,-0.048
1.367,0,0.043
1.251,0,0.034
1.171,0,0.043
1.171,0,0.107
1.447,0,0.026
1.251,0,0.043
1.17,0,0.051
1.367,0,0.116
1.171,0,0.043
1.17,0,0.034
1.171,0,0.034
1.054,0,0.034
1.25,0,-0.039
1.17,0,-0.031
1.171,0,0.099
1.17,0,0.116
1.962,0,0.043
1.963,0,-0.048
1.767,0,0.026
1.447,0,0.034
1.25,0,0.034
1.847,0,-0.031
1.367,0,0.034
1.766,0,0.043
1.57,0,0.034
1.57,0,0.034
1.65,0,0.043
1.846,0,0.116
1.846,0,0.034
1.766,0,0.107
1.766,0,0.107
1.65,0,0.034
1.767,0,0.034
1.767,0,0.034
1.65,0,-0.031
1.766,0,0.034
1.57,0,-0.048
1.766,0,0.116
1.447,0,-0.039
1.766,0,0.043
1.766,0,-0.022
1.65,0,0.099
1.65,0,0.116
1.57,0,0.034
2.042,0,0.026
1.766,0,0.034
2.042,0,0.107
1.847,0,0.043
1.847,0,0.107
1.766,0,0.107
1.57,0,0.034
1.65,0,0.107
1.57,0,0.034
1.65,0,0.034
1.846,0,0.034
1.367,0,0.034
1.766,0,0.099
1.766,0,0.034
1.766,0,0.034
1.846,0,0.043
1.766,0,0.034
1.766,0,0.051
1.367,0,0.034
1.447,0,0.125
1.447,0,0.043
1.251,0,0.026
1.65,0,0.034
1.367,0,0.043
1.447,0,0.034
1.651,0,0.107
1.767,0,0.026
1.57,0,-0.039
1.766,0,0.034
1.65,0,0.107
1.767,0,-0.031
1.962,0,0.116
1.57,0,0.107
1.65,0,-0.048
1.447,0,-0.039
1.366,0,0.034
1.963,0,-0.039
1.846,0,-0.031
1.846,0,0.026
1.846,0,-0.039
1.766,0,0.116
1.766,0,0.043
1.65,0,0.034
1.251,0,0.043
1.447,0,0.043
1.171,0,0.034
1.171,0,0.034
1.17,0,0.034
1.447,0,0.043
1.65,0,-0.039
1.447,0,0.099
1.57,0,-0.039
1.446,0,0.034
1.25,0,0.043
1.57,0,0.107
1.054,0,0.034
1.367,0,-0.039
1.367,0,0.034
1.367,0,0.034
1.447,0,0.107
1.57,0,0.034
1.962,0,0.034
1.57,0,-0.048
1.446,0,0.099
1.367,0,0.043
1.446,0,0.026
1.57,0,-0.048
1.367,0,0.026
1.57,0,-0.039
1.25,0,0.034
1.57,0,0.099
1.367,0,-0.031
1.251,0,0.034
1.366,0,-0.039
1.447,0,0.034
1.367,0,0.034
1.367,0,-0.039
1.171,0,-0.039
1.447,0,0.034
0.974,0,0.034
1.766,0,-0.039
1.25,0,0.034
1.65,0,-0.039
1.25,0,0.026
1.57,0,-0.039
1.57,0,0.034
1.251,0,0.107
1.367,0,0.034
1.171,0,0.026
1.367,0,-0.112
1.57,0,-0.048
1.57,0,0.107
1.65,0,0.034
1.447,0,-0.048
1.766,0,0.034
1.446,0,-0.039
1.57,0,-0.048
1.447,0,-0.048
1.447,0,-0.112
1.447,0,0.099
1.367,0,-0.112
1.367,0,0.034
1.367,0,0.107
1.447,0,0.026
1.251,0,0.107
1.171,0,-0.039
2.166,0,0.034
1.17,0,-0.039
2.638,0,-0.039
0.974,0,-0.039
1.766,0,-0.039
1.447,0,0.026
1.65,0,-0.048
1.447,0,0.034
1.766,0,-0.039
1.65,0,0.034
1.767,0,0.026
1.57,0,-0.039
1.847,0,-0.039
1.963,0,-0.039
1.766,0,-0.039
1.65,0,-0.039
1.846,0,0.026
1.766,0,-0.039
1.65,0,-0.039
1.57,0,-0.121
1.766,0,-0.112
1.766,0,0.034
1.962,0,0.026
1.65,0,-0.048
1.65,0,0.034
1.251,0,-0.039
1.57,0,0.034
1.65,0,-0.048
1.65,0,-0.039
1.846,0,-0.048
2.167,0,-0.048
1.57,0,-0.048
2.326,0,0.026
2.246,0,-0.048
1.447,0,-0.039
1.846,0,-0.056
1.447,0,0.034
1.767,0,-0.048
1.367,0,-0.048
1.17,0,-0.039
2.042,-0.314,-0.048
1.57,0,-0.039
1.766,0,0.034
1.766,0,-0.129
1.767,0,-0.048
1.65,0,-0.121
1.57,0,-0.039
1.25,0,-0.048
1.571,0,0.026
1.25,0,-0.129
1.367,0,-0.039
1.251,0,-0.039
1.963,0,-0.112
1.65,0,-0.112
1.846,0,-0.112
1.367,0,-0.039
1.65,0,-0.039
1.251,0,-0.121
1.447,0,-0.039
0.974,0,-0.048
1.251,0,-0.031
1.251,0,0.026
1.251,0,-0.039
1.171,0,-0.039
1.447,0,-0.112
1.57,0,-0.048
1.65,0,-0.048
1.447,0,-0.048
1.251,0,-0.048
1.251,0,-0.095
1.447,0,-0.039
1.447,0,-0.112
1.447,0,-0.039
1.25,0,0.026
1.57,0,-0.121
1.171,0,-0.039
1.571,0,-0.039
1.251,0,-0.039
1.447,0,-0.039
1.17,0,-0.048
1.367,0,-0.039
1.054,0,-0.112
1.054,0,-0.121
1.25,0,-0.048
1.17,0,-0.039
1.367,0,0.034
1.054,0,-0.121
1.447,0,-0.048
1.65,0,-0.048
1.054,0,0.034
1.367,0,-0.121
1.171,0,-0.048
1.447,0,-0.048
1.367,0,0.026
1.57,0,-0.121
1.366,0,-0.104
1.57,0,-0.039
1.447,0,-0.129
1.447,0,-0.104
1.447,0,-0.048
1.846,0,-0.039
1.57,0,-0.039
1.57,0,0.034
1.251,0,-0.039
1.766,0,-0.039
1.367,0,-0.048
1.171,0,0.034
1.367,0,0.034
0.975,0,0.034
1.367,0,-0.031
1.054,0,-0.056
1.447,0,-0.048
1.65,0,-0.048
1.963,0,0.034
1.251,0,-0.048
1.846,0,-0.048
1.447,0,-0.039
1.447,0,-0.048
1.447,0,0.392
1.054,0,0.026
1.367,0,0.034
1.447,0,-0.039
1.446,0,0.034
1.65,0,-0.112
1.055,0,0.034
1.57,0,0.034
1.57,0,0.034
1.65,0,-0.039
1.57,0,-0.039
1.57,0,-0.048
1.171,0,0.043
1.447,0,0.034
1.054,0,-0.104
1.17,0,0.034
1.25,0,0.107
1.25,0,-0.048
1.447,0,-0.031
1.367,0,0.034
1.055,0,-0.039
1.17,0,-0.048
0.894,0,0.034
1.57,0,0.026
1.446,0,0.034
1.251,0,-0.104
1.766,0,-0.048
1.447,0,-0.039
1.251,0,0.107
1.447,0,0.612
1.251,0,-0.048
0.974,0,0.034
1.447,0,0.034
1.57,0,0.034
1.251,0,0.172
1.767,0,-0.048
1.171,0,0.026
1.447,0,-0.039
0.974,0,0.034
1.25,0,-0.031
1.25,0,0.026
1.171,0,0.043
1.17,0,0.181
1.447,0.209,0.117
1.251,0.209,0.107
1.367,0.209,0.117
1.17,0.209,0.178
1.57,0.209,0.117
1.17,0,0.129
1.17,-0.314,0.26
1.367,0,0.189
1.251,0,0.26
1.367,0.209,0.272
1.57,0.209,0.343
1.447,0.209,0.284
1.65,0.209,0.271
1.57,0.209,0.355
1.766,0.209,0.355
1.846,0.209,0.371
1.57,0.209,0.356
1.367,0.209,0.425
1.447,0.209,0.425
1.054,0.209,0.425
1.446,0.209,0.986
1.25,0.209,0.527
0.894,0.209,0.46
1.17,0.209,0.509
1.65,0.209,0.527
1.17,0.209,1.061
1.57,0.209,0.594
1.57,0.209,0.594
1.251,0.209,0.596
1.57,0.209,0.594
1.766,0.209,0.594
1.65,0.419,0.596
1.846,0.419,0.681
1.57,0.419,0.682
1.847,0.209,0.681
1.766,0,0.681
1.847,0.209,0.742
2.326,0.628,0.649
1.767,0.838,0.71
2.166,1.047,0.71
1.65,1.676,0.763
1.963,2.618,0.659
1.65,3.665,0.535
1.846,5.027,0.557
1.57,5.236,0.648
1.57,4.817,0.72
1.367,4.817,0.638
1.767,5.864,0.723
1.447,6.283,0.741
1.65,6.074,0.614
1.65,7.226,0.577
1.766,9.111,0.636
1.367,9.32,0.601
1.846,10.472,0.615
1.65,12.043,0.558
1.847,13.928,0.553
1.846,14.661,0.511
1.846,13.928,0.464
2.043,12.671,0.468
1.963,11.31,0.565
2.326,11.833,0.46
1.571,12.462,0.493
2.042,15.289,0.366
1.65,17.907,0.336
1.65,19.059,0.444
2.043,19.268,0.272
1.65,19.478,0.382
2.246,17.488,0.437
1.447,14.87,0.543
1.766,15.08,0.398
1.446,17.069,0.492
1.57,19.268,0.37
1.65,19.897,0.325
1.366,21.886,0.27
1.366,22.724,0.378
1.367,20.316,0.45
1.367,17.698,0.214
1.65,18.326,0.363
1.57,20.525,0.422
1.846,22.305,0.177
1.65,23.876,0.205
1.766,24.086,0.238
1.963,20.316,0.32
1.57,18.326,0.33
1.846,19.897,0.355
1.766,22.305,0.291
1.57,24.714,0.277
1.447,26.075,0.121
1.367,24.504,0.01
1.367,20.525,0.221
1.65,19.268,0.321
1.447,20.525,0.277
1.447,22.724,0.265
1.446,25.761,0.19
1.367,26.913,0.188
1.57,23.143,0.156
1.447,20.944,0.265
1.367,20.735,0.166
1.447,20.316,0.212
1.171,20.735,0.234
1.366,24.714,0.195
1.251,26.075,0.144
1.367,24.504,0.063
1.447,21.886,0.135
1.447,19.687,0.172
1.766,17.907,0.137
1.962,19.478,0.193
1.846,25.133,0.133
1.766,26.285,0.171
1.571,24.714,0.177
1.366,21.153,0.082
1.57,18.326,0.135
1.367,16.86,0.121
1.65,17.698,0.144
1.962,20.944,0.121
1.447,22.096,0.057
1.65,21.468,0.062
2.043,20.735,0.09
1.767,19.268,0.101
1.766,16.86,0.181
1.57,17.069,0.073
1.766,19.059,0.035
1.251,19.897,0.12
1.366,19.059,0.15
1.447,17.698,0.184
1.251,17.698,0.17
1.367,17.488,0.154
1.366,16.336,0.057
1.65,15.708,0.148
1.447,16.336,0.137
1.847,16.86,0.037
1.65,14.87,0.021
1.846,12.252,0.095
1.846,11.31,0.066
1.57,12.252,0.076
1.766,12.881,0.092
1.766,13.928,0.012
1.766,13.509,0.02
1.846,13.509,0.029
1.766,13.09,0.033
1.767,12.881,0.056
1.767,13.09,0.039
1.962,12.671,0.033
1.57,9.634,0.071
1.963,8.692,0.024
1.963,7.645,0.173
2.043,6.912,0.095
1.846,6.912,0.093
2.042,6.283,0.092
1.766,5.655,0.034
1.447,5.655,-0.095
1.65,6.074,-0.01
1.65,6.074,0.073
1.25,4.503,-0.016
1.57,2.827,-0.018
1.367,2.409,-0.02
1.447,2.409,-0.021
1.57,2.409,0.057
1.767,2.618,-0.024
1.367,3.037,-0.095
1.57,3.456,-0.027
1.447,3.456,-0.178
1.766,3.665,-0.175
1.65,4.294,-0.17
1.766,5.445,-0.162
1.767,5.864,-0.272
1.447,5.027,-0.188
1.447,2.409,-0.189
1.767,0.419,-0.105
1.367,-1.152,-0.188
1.57,-2.932,-0.148
2.042,-3.56,-0.004
1.767,-3.351,-0.034
1.963,-2.513,-0.345
1.963,0,-0.123
1.447,1.047,-0.304
2.166,1.466,-0.303
1.17,1.047,-0.236
1.25,0.628,-0.27
1.17,-0.942,-0.179
1.367,-1.361,-0.338
1.054,-1.361,-0.355
1.57,-0.942,-0.355
1.17,-0.733,-0.394
1.25,0.419,-0.393
1.367,0.209,-0.483
1.25,0.209,-0.446
1.251,0,-0.394
1.367,-0.524,-0.406
0.974,-0.733,-0.535
1.367,-0.733,-0.485
1.366,-0.524,-0.533
1.57,-0.524,-0.533
1.57,-0.314,-0.575
1.251,-0.314,-0.575
1.447,0,-0.665
1.447,0,-0.665
1.767,0,-0.756
1.766,-0.524,-0.533
1.447,-0.524,-0.575
1.447,-0.733,-0.665
1.447,-0.942,-0.665
1.963,-0.733,-0.801
1.65,-0.733,-0.437
1.447,-0.733,-0.712
1.65,-0.524,-0.802
1.766,-0.524,-0.762
1.171,-0.942,-0.792
1.57,-1.361,-0.856
1.366,-1.78,-0.857
1.57,-2.932,-0.619
1.447,-4.608,-0.59
1.57,-6.597,-0.496
1.65,-8.796,-0.493
1.766,-10.158,-0.599
1.447,-12.776,-0.483
1.847,-13.614,-0.311
1.65,-13.823,-0.277
1.846,-13.614,-0.371
1.17,-14.032,-0.466
1.846,-13.404,-0.43
1.447,-11.938,-0.677
1.846,-10.367,-0.608
1.962,-10.367,-0.647
2.042,-10.158,-0.553
2.246,-10.786,-0.524
2.166,-12.776,-0.549
2.043,-14.347,-0.499
2.167,-16.022,-0.403
1.571,-15.603,-0.496
1.846,-14.765,-0.425
1.766,-16.232,-0.271
1.766,-20.001,-0.659
1.766,-20.839,-0.266
1.766,-19.792,-0.255
1.767,-19.373,-0.363
1.65,-20.001,-0.305
1.846,-20.211,-0.363
1.846,-19.792,-0.416
1.767,-20.42,-0.2
1.846,-21.572,-0.311
1.846,-19.583,-0.366
1.846,-18.012,-0.402
1.57,-19.373,-0.354
1.57,-22.619,-0.258
1.251,-23.771,-0.298
1.847,-24.819,-0.205
1.766,-24.19,-0.21
1.963,-20.63,-0.334
1.846,-18.431,-0.188
1.847,-20.211,-0.195
1.962,-24.4,-0.269
1.963,-27.437,-0.121
2.246,-27.646,-0.146
2.246,-24.609,-0.212
1.57,-18.221,-0.256
1.57,-19.792,-0.328
1.766,-21.991,-0.154
1.766,-24.819,-0.146
1.651,-26.808,-0.122
1.65,-26.599,-0.093
1.57,-23.038,-0.187
1.766,-21.258,-0.233
1.57,-22.201,-0.229
1.65,-22.41,-0.239
1.57,-25.028,-0.205
1.767,-27.855,0.175
1.57,-25.866,-0.22
1.65,-22.619,-0.176
1.57,-21.258,-0.096
1.57,-19.792,-0.082
1.65,-19.792,-0.081
1.766,-22.619,-0.1
1.766,-25.447,-0.093
1.846,-24.819,-0.101
1.57,-23.457,-0.234
1.65,-20.839,0.002
1.57,-19.164,-0.143
1.57,-19.164,-0.104
1.57,-21.782,-0.227
1.846,-23.771,-0.145
1.57,-22.619,-0.137
1.65,-20.63,-0.092
1.366,-18.64,-0.164
2.043,-17.802,-0.122
1.251,-18.64,-0.062
1.65,-20.42,-0.035
1.367,-21.782,0.059
1.251,-20.211,0.055
1.054,-18.431,-0.006
1.25,-18.221,-0.078
1.251,-17.593,-0.081
