I1,I2,I3
1.235,0,0.046
1.483,0,0.063
1.235,0,-0.043
0.741,0,-0.043
1.236,0,0.046
1.483,0,0.046
0.493,0,-0.078
1.483,0,-0.078
0.988,0,-0.078
1.235,0,-0.043
1.481,0,-0.043
1.235,0,0.134
0.988,0,-0.043
0.989,0,0.134
0.988,0,-0.023
1.235,0,0.134
0.493,0,-0.043
1.236,0,0.082
0.494,0,0.046
1.235,0,0.046
1.235,0,0.099
1.236,0,-0.078
0.741,0,0.046
0.741,0,-0.043
0.988,0,-0.043
0.741,0,0.046
1.235,0,0.188
1.235,0,-0.043
1.235,0,0.046
1.236,0,-0.078
0.74,0,0.046
0.741,0,0.011
1.236,0,-0.078
1.236,0,-0.043
1.236,0,-0.043
1.235,0,-0.043
1.483,0,-0.043
1.73,0,0.046
1.235,0,0.011
1.481,0,0.046
1.235,0,-0.043
1.235,0,0.011
0.988,0,-0.078
1.235,0,-0.009
1.484,0,-0.009
0.988,0,-0.133
0.74,0,0.046
0.741,0,0.134
0.988,0,0.099
1.483,0,0.046
1.237,0,-0.167
0.989,0,0.046
1.235,0,0.082
0.988,0,0.082
0.988,0,-0.078
0.741,0,-0.043
0.988,0,0.046
1.235,0,-0.078
1.483,0,-0.043
0.741,0,-0.078
1.236,0,-0.133
1.235,0,0.046
1.483,0,0.099
0.988,0,-0.078
0.989,0,0.046
1.236,0,0.134
0.74,0,0.011
1.235,0,0.046
1.483,0,-0.043
1.483,0,-0.133
1.235,0,-0.043
0.988,0,0.134
1.483,0,-0.133
1.235,0,0.046
1.235,0,-0.098
1.236,0,0.134
0.741,0,0.046
1.73,0,0.082
1.235,0,0.046
0.74,0,0.046
0.493,0,0.046
1.235,0,0.046
1.483,0,0.011
0.988,0,0.082
1.235,0,0.046
1.235,0,-0.009
1.235,0,-0.043
0.988,0,-0.078
1.236,0,-0.043
0.494,0,-0.078
1.483,0,-0.009
0.741,0,-0.133
0.988,0,0.168
0.74,0,0.046
1.483,0,0.046
1.732,0,-0.133
1.481,0,0.011
0.988,0,0.046
0.987,0,0.134
0.741,0,-0.043
1.235,0,0.011
0.741,0,-0.043
0.988,0,0.082
0.74,0,0.046
1.236,0,-0.043
0.988,0,0.011
1.236,0,0.011
0.494,0,0.011
1.483,0,0.011
1.236,0,-0.078
1.235,0,0.011
1.732,0,0.168
0.741,0,0.046
0.989,0,0.011
1.237,0,0.011
1.483,0,0.046
0.988,0,-0.043
0.988,0,-0.023
1.483,0,-0.043
1.236,0,0.046
0.988,0,0.099
0.988,0,0.011
1.483,0,0.046
1.732,0,0.011
1.483,0,0.082
1.235,0,0.046
1.237,0,0.082
1.481,0,0.046
1.235,0,-0.043
0.741,0,0.046
1.483,0,0.046
0.988,0,-0.043
1.235,0,0.046
1.236,0,-0.043
0.74,0,-0.009
1.483,0,0.134
1.235,0,-0.078
