I0,I1,I2,I3,I4,I5,I6
0.000,2.099,0.000,0.000,0.000,0.000,0.000
0.000,1.528,-3.770,0.044,0.000,-0.055,0.000
0.000,1.606,0.419,1.909,0.000,0.033,0.000
0.000,1.909,-0.524,-0.276,0.000,0.000,0.000
0.000,1.330,0.000,0.038,0.000,0.037,0.000
0.000,1.330,-0.314,2.107,0.000,0.000,0.000
0.000,1.408,0.000,0.000,0.000,0.000,0.000
0.000,90.465,252.375,13.806,0.000,0.000,0.000
0.000,87.449,264.417,14.061,0.000,0.000,0.000
0.000,96.793,272.795,12.369,0.000,0.000,0.000
0.000,86.656,284.838,12.156,0.000,0.000,0.000
0.000,87.511,298.661,12.645,0.000,0.000,0.000
0.000,93.030,295.100,13.627,0.000,0.000,0.000
0.000,85.637,273.633,14.259,0.000,0.000,0.000
0.000,85.199,249.966,15.072,0.000,0.000,0.000
0.000,97.485,231.535,15.146,0.000,0.000,0.000
0.000,88.042,238.133,14.673,0.000,0.000,0.000
0.000,89.740,280.021,13.173,0.000,0.000,0.000
0.000,96.339,314.892,11.440,0.000,0.000,0.000
0.000,86.360,334.580,11.671,0.000,0.000,0.000
0.000,92.900,327.982,13.561,0.000,0.000,0.000
0.000,88.424,273.633,15.758,0.000,0.000,0.000
0.000,96.065,219.702,16.318,0.000,0.000,0.000
0.000,83.212,214.466,13.564,0.000,0.000,0.000
0.000,92.579,257.192,13.557,0.000,0.000,0.000
0.000,85.438,309.552,11.726,0.000,0.000,0.000
0.000,96.374,334.580,11.381,0.000,0.000,0.000
0.000,86.486,344.633,13.260,0.000,0.000,0.000
0.000,97.090,308.295,14.585,0.000,0.000,0.000
0.000,85.600,260.543,13.845,0.000,0.000,0.000
0.000,88.955,271.015,13.522,0.000,0.000,0.000
0.000,90.012,293.111,12.336,0.000,0.000,0.000
0.000,85.757,306.934,11.322,0.000,0.000,0.000
0.000,87.277,311.751,12.743,0.000,0.000,0.000
0.000,88.044,301.069,12.998,0.000,0.000,0.000
0.000,97.448,294.053,12.284,0.000,0.000,0.000
0.000,86.049,305.886,12.056,0.000,0.000,0.000
0.000,92.935,317.510,12.778,0.000,0.000,0.000
0.000,87.753,318.767,13.618,0.000,0.000,0.000
0.000,96.296,287.665,14.855,0.000,0.000,0.000
0.000,87.958,260.752,14.640,0.000,0.000,0.000
0.000,98.770,270.596,12.708,0.000,0.000,0.000
0.000,84.533,303.268,11.942,0.000,0.000,0.000
