I0,I1,I2,I3,I4,I5,I6
0.000,1.094,0.000,0.004,0.000,0.000,0.000
0.000,1.094,0.000,-0.138,0.000,0.000,0.000
0.000,0.876,0.000,0.004,0.000,0.000,0.000
0.000,0.656,0.000,-0.188,0.000,0.000,0.000
0.000,1.094,0.000,-0.048,0.000,0.000,0.000
0.000,1.094,0.000,0.093,0.000,0.000,0.000
0.000,0.657,0.000,0.043,0.000,0.000,0.000
0.000,1.534,0.000,-0.048,0.000,0.000,0.000
0.000,1.313,0.000,-0.048,0.000,0.000,0.000
0.000,1.314,0.000,0.004,0.000,0.000,0.000
0.000,1.094,0.000,-0.048,0.000,0.000,0.000
0.000,1.313,0.000,0.054,0.000,0.000,0.000
0.000,1.096,0.000,0.043,0.000,0.000,0.000
0.000,1.314,0.000,-0.138,0.000,0.000,0.000
0.000,1.314,0.000,0.004,0.000,0.000,0.000
0.000,1.313,0.000,0.132,0.000,0.000,0.000
0.000,1.095,0.000,-0.048,0.000,0.000,0.000
0.000,1.094,0.000,0.054,0.000,0.000,0.000
0.000,1.313,0.000,0.043,0.000,0.000,0.000
0.000,1.315,0.000,-0.037,0.000,0.000,0.000
0.000,1.314,0.000,0.093,0.000,0.000,0.000
0.000,1.313,0.000,0.093,0.000,0.000,0.000
0.000,1.094,0.000,0.004,0.000,0.000,0.000
0.000,1.313,0.000,0.093,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,1.095,0.000,-0.048,0.000,0.000,0.000
0.000,1.532,0.000,0.093,0.000,0.000,0.000
0.000,0.657,0.000,-0.048,0.000,0.000,0.000
0.000,1.096,0.000,-0.048,0.000,0.000,0.000
0.000,1.313,0.000,0.043,0.000,0.000,0.000
0.000,0.656,0.000,0.093,0.000,0.000,0.000
0.000,1.312,0.000,0.004,0.000,0.000,0.000
0.000,1.314,0.000,-0.098,0.000,0.000,0.000
0.000,1.095,0.000,-0.087,0.000,0.000,0.000
0.000,1.314,0.000,-0.048,0.000,0.000,0.000
0.000,1.532,0.000,0.043,0.000,0.000,0.000
0.000,1.094,0.000,0.043,0.000,0.000,0.000
0.000,0.657,0.000,0.004,0.000,0.000,0.000
0.000,1.095,0.000,0.093,0.000,0.000,0.000
0.000,1.094,0.000,0.004,0.000,0.000,0.000
0.000,1.534,0.000,0.004,0.000,0.000,0.000
0.000,1.095,0.000,0.043,0.000,0.000,0.000
0.000,1.095,0.000,0.043,0.000,0.000,0.000
0.000,1.532,0.000,-0.048,0.000,0.000,0.000
0.000,1.095,0.000,0.043,0.000,0.000,0.000
0.000,1.094,0.000,-0.048,0.000,0.000,0.000
0.000,1.095,0.000,0.043,0.000,0.000,0.000
0.000,0.876,0.000,0.043,0.000,0.000,0.000
0.000,1.095,0.000,0.004,0.000,0.000,0.000
0.000,1.094,0.000,0.093,0.000,0.000,0.000
0.000,0.876,0.000,-0.048,0.000,0.000,0.000
0.000,1.094,0.000,0.093,0.000,0.000,0.000
0.000,1.095,0.000,-0.048,0.000,0.000,0.000
0.000,1.095,0.000,-0.048,0.000,0.000,0.000
0.000,1.094,0.000,-0.048,0.000,0.000,0.000
0.000,0.657,0.000,-0.138,0.000,0.000,0.000
0.000,0.875,0.000,-0.048,0.000,0.000,0.000
0.000,0.875,0.000,0.054,0.000,0.000,0.000
0.000,0.656,0.000,-0.048,0.000,0.000,0.000
0.000,1.095,0.000,0.004,0.000,0.000,0.000
0.000,1.095,0.000,0.093,0.000,0.000,0.000
0.000,1.095,0.000,0.054,0.000,0.000,0.000
0.000,1.314,0.000,-0.009,0.000,0.000,0.000
0.000,1.094,0.000,-0.048,0.000,0.000,0.000
0.000,1.313,0.000,-0.037,0.000,0.000,0.000
0.000,0.656,0.000,0.004,0.000,0.000,0.000
0.000,1.314,0.000,-0.048,0.000,0.000,0.000
0.000,1.095,0.000,0.054,0.000,0.000,0.000
0.000,1.095,0.000,0.043,0.000,0.000,0.000
0.000,1.094,0.000,0.093,0.000,0.000,0.000
0.000,0.875,0.000,-0.048,0.000,0.000,0.000
0.000,1.314,0.000,0.004,0.000,0.000,0.000
