I1,I2,I3
1.504,21.886,0.179
0.751,22.724,0.219
1.504,17.698,0.299
1.253,19.897,0.278
1.253,23.876,0.215
1.002,22.934,0.206
0.751,19.268,0.327
1.002,19.268,0.231
1.002,21.468,0.275
1.504,22.724,0.347
1.252,22.096,0.326
1.502,18.535,0.125
0.751,21.677,0.186
0.751,23.353,0.195
1.002,22.724,0.26
1.504,18.326,0.261
0.752,20.944,0.282
1.504,22.724,0.278
0.751,23.667,0.234
1.002,19.268,0.231
1.253,20.525,0.189
0.751,23.143,0.4
1.252,23.667,0.248
0.751,18.326,0.088
1.253,20.106,0.22
0.752,23.876,0.316
1.502,24.504,0.247
1.253,19.059,0.216
1.001,19.268,0.281
1.002,21.677,0.361
1.504,26.075,0.265
1.001,20.944,0.248
0.751,20.106,0.132
0.501,19.897,0.272
1.253,25.761,0.283
1.002,24.086,0.159
1.001,20.106,0.142
1.002,17.698,0.284
1.001,24.504,0.173
0.751,24.923,0.25
1.002,20.735,0.304
1.002,17.907,0.264
0.751,22.305,0.264
1.253,23.876,0.223
1.252,23.143,0.255
1.002,19.687,0.219
1.253,22.305,0.28
1.002,22.305,0.248
1.504,22.096,0.153
1.253,21.677,0.182
1.502,23.143,0.255
0.751,19.478,0.221
0.751,22.934,0.128
0.501,23.353,0.088
1.252,22.934,0.215
1.504,20.316,0.249
1.002,22.096,0.308
0.751,23.143,0.316
1.001,23.876,0.343
1.001,18.745,0.222
0.751,21.886,0.28
1.502,24.504,0.313
0.751,23.667,0.3
1.001,19.268,0.342
1.252,22.096,0.283
1.502,22.724,0.155
0.751,24.714,0.239
1.001,20.316,0.132
0.751,22.096,0.271
0.751,24.504,0.132
1.504,24.504,0.304
1.002,19.897,0.228
1.753,21.677,0.283
1.252,23.353,0.217
0.75,25.342,0.236
1.002,20.525,0.233
0.751,22.096,0.186
1.504,24.714,0.199
0.751,23.667,0.229
0.751,20.316,0.143
1.002,23.667,0.16
1.754,26.285,0.194
0.751,22.515,0.144
1.002,20.106,0.229
0.751,22.724,0.275
0.5,27.541,0.171
0.751,23.667,0.171
0.501,21.468,0.243
1.002,21.468,0.227
0.751,27.332,0.338
1.504,25.133,0.255
1.504,20.525,0.187
1.252,20.525,0.258
0.751,27.541,0.261
0.751,25.133,0.214
1.252,19.478,0.287
0.751,22.934,0.27
0.751,25.552,0.231
1.002,25.133,0.28
0.752,21.153,0.271
1.002,24.504,0.193
1.253,24.086,0.172
1.504,24.086,0.063
1.504,23.143,0.313
1.502,24.504,0.282
1.001,21.153,0.145
1.002,25.552,0.184
0.751,24.504,0.129
0.501,22.934,0.319
1.253,22.096,0.266
1.504,24.714,0.316
1.002,25.342,0.282
1.502,20.106,0.226
1.504,24.504,0.28
1.253,26.075,0.096
1.001,24.504,0.206
1.002,20.735,0.344
1.753,24.086,0.211
1.001,25.342,0.256
0.751,25.552,0.302
1.504,22.515,0.234
0.751,26.704,0.273
1.253,27.332,0.297
1.001,22.305,0.249
0.751,23.876,0.242
1.502,27.122,0.261
1.002,26.913,0.258
0.751,23.667,0.231
0.751,26.704,0.271
0.751,28.484,0.342
0.501,22.724,0.347
1.504,26.075,0.204
1.252,29.531,0.343
0.751,25.342,0.227
0.751,24.295,0.369
0.751,27.96,0.222
1.002,30.369,0.265
0.751,25.133,0.219
0.751,24.923,0.315
1.001,31.102,0.337
0.751,29.112,0.178
1.002,23.667,0.275
1.002,30.892,0.247
0.751,31.102,0.267
1.754,23.876,0.287
1.253,27.332,0.339
1.002,30.578,0.145
1.002,28.17,0.186
1.001,26.913,0.203
0.751,29.112,0.173
1.252,29.322,0.055
0.751,27.751,0.181
1.502,27.122,0.316
1.002,29.95,0.344
1.504,29.74,0.198
1.001,27.96,0.327
1.253,28.693,0.248
1.002,30.159,0.243
0.751,28.17,0.294
0.751,29.322,0.192
1.753,31.311,0.128
0.751,27.541,0.244
0.751,28.17,0.306
1.502,29.74,0.366
0.75,29.74,0.234
1.502,27.122,0.223
1.502,31.311,0.247
1.504,29.74,0.238
0.751,27.122,0.399
1.504,29.531,0.278
1.253,31.521,0.206
0.751,26.704,0.28
1.001,30.369,0.403
1.253,28.903,0.262
0.751,27.332,0.336
1.002,32.568,0.363
1.002,29.74,0.215
1.252,26.494,0.219
0.751,30.892,0.219
1.001,32.358,0.33
0.751,27.751,0.219
1.002,27.96,0.192
1.253,34.348,0.229
1.002,28.693,0.19
1.253,25.552,0.337
1.504,35.5,0.248
0.751,29.531,0.355
1.253,25.761,0.28
1.001,32.987,0.222
1.252,30.369,0.187
1.252,28.693,0.044
1.001,30.892,0.259
1.755,31.311,0.287
1.504,29.95,0.137
1.252,27.541,0.226
1.252,32.358,0.271
1.002,30.892,0.194
0.751,28.17,0.261
0.751,31.94,0.222
1.504,31.521,0.245
1.002,26.494,0.229
1.504,33.51,0.186
1.252,31.94,0.151
1.253,26.913,0.24
0.751,30.892,0.286
1.002,32.777,0.237
1.002,27.541,0.367
0.751,32.568,0.222
1.753,31.94,0.233
1.253,27.751,0.22
0.751,30.892,0.309
1.502,32.987,0.234
1.753,28.484,0.28
1.504,32.149,0.131
0.751,30.369,0.33
1.502,28.17,0.087
1.504,33.929,0.198
1.001,30.159,0.225
0.751,27.96,0.189
0.751,32.987,0.199
1.002,30.578,0.266
1.251,28.693,0.287
1,33.301,0.251
0.5,32.777,0.311
1.252,26.075,0.275
1.253,33.301,0.344
1.253,34.139,0.22
1.253,26.075,0.227
0.751,32.358,0.234
1.002,32.987,0.135
1.504,28.17,0.259
0.751,31.94,0.293
1.502,31.73,0.281
1.252,30.892,0.278
1.504,30.369,0.251
1.001,31.73,0.19
1.253,31.73,0.14
0.5,28.903,0.332
1.001,32.568,0.309
0.751,32.358,0.223
1.001,27.122,0.21
1.253,34.558,0.309
1.252,32.568,0.258
1.002,27.96,0.266
1.504,31.94,0.049
1.002,33.51,0.236
1.754,28.17,0.369
1.002,33.51,0.31
1.504,32.358,0.24
1.252,29.112,0.245
0.751,32.149,0.277
1.001,31.102,0.234
1.002,30.369,0.187
0.751,34.139,0.127
1.002,27.96,0.265
1.253,31.94,0.165
0.751,34.767,0.226
0.5,27.751,0.234
0.751,30.578,0.131
1.502,35.709,0.227
1.002,29.74,0.309
0.752,29.322,0.314
1.504,36.547,0.215
0.751,31.102,0.344
1.002,26.913,0.149
1.253,37.385,0.254
1.002,30.369,0.209
0.5,28.17,0.26
1.002,34.348,0.311
0.75,30.369,0.179
1.504,32.149,0.212
1.001,32.358,0.345
0.751,31.73,0.278
0.5,31.73,0.347
1.252,31.73,0.208
1.002,32.987,0.2
1.001,30.892,0.17
1.002,32.568,0.21
1.251,33.301,0.211
1.001,28.484,0.215
0.751,34.348,0.363
1.504,33.301,0.216
0.751,28.17,0.355
1.253,32.149,0.177
0.751,33.51,0.234
1.502,29.112,0.28
1.002,33.929,0.117
0.751,31.311,0.249
0.751,29.531,0.055
1.252,32.777,0.342
1.504,29.95,0.381
0.751,31.102,0.104
1.001,33.72,0.15
0.5,27.332,0.161
0.751,32.149,0.161
0.751,34.348,0.267
1,27.122,0.204
1.002,30.892,0.273
1.002,35.5,0.31
1.002,29.322,0.26
1.001,29.95,0.215
1.504,34.976,0.287
1.252,28.484,0.336
1.002,28.903,0.057
0.751,35.919,0.265
1.002,27.541,0.128
1.504,29.112,0.267
1.253,33.72,0.299
1.001,30.369,0.101
1.002,31.102,0.127
1.504,31.73,0.265
1.504,31.311,0.315
1.253,31.311,0.262
1.001,28.484,0.323
1.002,32.777,0.221
1.504,30.369,0.265
0.751,30.892,0.159
0.751,32.149,0.364
1.252,28.693,0.321
1.253,30.578,0.127
0.75,32.777,0.116
1.002,28.484,0.33
1.253,30.369,0.283
1.001,32.149,0.271
1.002,29.322,0.148
1.755,30.159,0.107
1.001,32.777,0.128
0.751,27.96,0.171
1.002,29.74,0.281
1.002,32.568,0.192
1.001,28.903,0.135
1.755,30.369,0.186
1.002,32.987,0.289
1.002,26.913,0.238
1.001,31.521,0.349
1.001,32.987,0.322
0.751,26.285,0.234
1.502,29.531,0.242
0.751,34.558,0.259
0.751,28.693,0.265
1.002,27.751,0.278
0.751,34.139,0.236
1.002,30.159,0.24
0.751,24.714,0.181
0.501,34.139,0.261
1.001,31.73,0.31
0.751,25.342,0.311
1.502,33.51,0.298
1.753,31.73,0.173
1.002,27.122,0.308
1.001,30.892,0.286
1.252,30.159,0.306
1.253,29.322,0.256
1.002,28.903,0.26
0.751,29.74,0.219
1.002,30.578,0.195
0.751,28.903,0.264
0.75,29.112,0.338
1.504,30.369,0.306
1.001,28.484,0.325
1.002,27.541,0.19
1.252,31.73,0.222
1.502,27.332,0.31
1.252,27.96,0.247
1.002,29.531,0.278
1.002,29.74,0.26
1.252,26.704,0.226
1.002,30.892,0.342
1.001,29.74,0.231
1.002,26.075,0.262
1.002,28.17,0.271
0.751,31.521,0.282
0.5,25.761,0.144
1.002,29.112,0.272
1.504,31.311,0.204
0.25,24.923,0.328
1.001,29.322,0.223
1.504,31.102,0.325
1.001,24.714,0.234
0.751,27.751,0.248
0.751,32.568,0.305
0.501,27.332,0.266
0.5,25.761,0.217
1.754,29.95,0.264
1.252,31.311,0.165
1.002,24.923,0.105
1.754,26.913,0.128
1.251,32.987,0.26
0.751,26.285,0.283
0.751,24.504,0.3
0.751,31.521,0.232
1.252,29.95,0.414
0.751,25.761,0.22
1.253,29.322,0.265
0.752,28.693,0.217
1.504,27.751,0.344
1.002,27.751,0.236
1.753,27.96,0.225
1.002,29.74,0.222
0.751,28.17,0.248
1.253,26.494,0.131
1.002,29.322,0.36
1.754,29.322,0.282
1.504,24.504,0.234
0.751,31.311,0.304
1.504,29.531,0.273
1.252,24.295,0.165
1.504,27.751,0.204
1.002,29.322,0.261
1.504,25.761,0.228
1.253,28.17,0.261
2.005,30.159,0.133
1.252,26.075,0.248
1.251,26.494,0.382
0.752,28.903,0.192
0.751,29.322,0.249
0.751,25.342,0.281
1.252,29.112,0.253
0.751,29.112,0.264
0.751,24.504,0.223
0.751,28.903,0.267
1.002,30.892,0.371
1.251,24.504,0.322
1.002,26.704,0.103
1.504,31.94,0.151
1.753,27.122,0.177
0.751,25.552,0.221
1.504,29.74,0.345
2.006,30.892,0.344
1.001,24.923,0.259
1.002,26.913,0.199
0.751,32.568,0.259
1.253,26.075,0.204
0.751,24.086,0.295
0.75,31.311,0.229
1.002,29.95,0.19
1.002,25.761,0.132
1.252,29.322,0.297
1.504,28.693,0.31
1.502,27.96,0.099
0.751,28.693,0.276
1.502,27.541,0.193
1.502,29.531,0.253
1.001,28.484,0.173
1.002,26.285,0.262
0.751,29.531,0.271
1.251,29.322,0.233
1.504,24.295,0.233
1.502,31.102,0.363
0.501,29.531,0.156
1.001,24.504,0.248
1.002,27.96,0.286
1.253,29.95,0.203
1.001,27.332,0.225
1.502,27.541,0.186
1.253,30.578,0.2
1.502,27.122,0.259
1.755,26.913,0.283
1.001,29.531,0.349
1.253,29.112,0.291
1.502,26.075,0.211
1.252,29.95,0.216
1.754,28.693,0.264
1.252,25.342,0.292
1.504,30.369,0.457
0.751,30.369,0.264
0.751,24.714,0.278
0.751,27.751,0.36
0.751,32.777,0.219
1.502,27.332,0.305
0.751,26.285,0.374
1.001,31.102,0.337
0.751,29.531,0.228
1.253,23.667,0.219
0.751,30.892,0.266
