I1,I2,I3
1.227,0,-0.1
0,0,0
1.473,0,0.042
1.471,0,-0.01
1.226,0,-0.01
0.981,0,0.042
1.472,0,-0.01
1.471,0,0.131
1.226,0,-0.01
1.226,0,0.027
0.981,0,-0.01
1.227,0,-0.01
1.472,0,-0.062
0.735,0,-0.01
0.981,0,0.079
0.736,0,0.182
1.227,0,-0.048
1.228,0,0.042
0.736,0,-0.01
1.472,0,-0.048
1.472,0,-0.01
1.226,0,0.042
0.736,0,0.042
1.472,0,-0.01
0.98,0,0.042
1.472,0,0.079
1.716,0,-0.01
1.227,0,0.079
1.226,0,0.042
1.227,0,0.079
0.49,0,0.042
0.736,0,-0.048
0.736,0,-0.048
1.227,0,0.042
0.735,0,-0.048
1.226,0,-0.01
1.227,0,0.004
1.226,0,-0.048
0.736,0,-0.048
0.982,0,-0.062
0.735,0,-0.01
1.472,0,-0.1
1.226,0,0.079
1.226,0,0.042
1.472,0,0.042
1.472,0,0.042
0.736,0,-0.048
1.227,0,-0.1
1.226,0,0.182
0.981,0,0.042
0.49,0,0.131
0.981,0,0.042
0.981,0,0.042
0.736,0,-0.01
0.98,0,0.042
0.49,0,-0.1
0.981,0,0.131
1.227,0,-0.01
1.226,0,-0.1
0.982,0,0.042
1.227,0,-0.01
1.473,0,0.042
1.226,0,-0.01
0.735,0,0.004
0.736,0,-0.01
1.226,0,0.027
0.736,0,-0.01
1.226,0,-0.01
1.226,0,0.131
0.735,0,0.042
0.736,0,0.131
0.736,0,0.042
0.736,0,-0.1
0.49,0,-0.1
1.471,0,-0.01
1.226,0,-0.048
0.736,0,-0.1
0.736,0,0.042
1.227,0,0.042
1.227,0,0.042
1.226,0,0.131
1.226,0,-0.048
0.49,0,-0.01
0.49,0,-0.01
1.473,0,0.093
0.736,0,0.131
0.491,0,0.199
1.226,0,0.093
1.472,0,0.004
1.226,0,0.131
0.736,0,-0.048
1.228,0,-0.1
0.49,0,0.042
1.471,0,0.042
0.981,0,-0.048
1.227,0,0.042
1.227,0,0.131
0.982,0,0.042
1.227,0,-0.1
1.227,0,0.131
1.226,0,-0.062
0.982,0,-0.048
0.49,0,0.131
1.226,0,-0.01
1.226,0,0.042
0.982,0,0.131
1.227,0,-0.048
0.736,0,0.131
1.227,0,0.042
0.735,0,-0.1
0.735,0,-0.01
1.226,0,-0.1
1.227,0,0.042
1.226,0,-0.048
0.736,0,-0.151
0.98,0,0.105
1.227,0,-0.01
1.226,0,-0.048
1.226,0,-0.01
1.226,0,0.042
1.472,0,0.042
1.227,0,0.042
1.471,0,0.042
0.981,0,-0.151
1.226,0,0.042
0.736,0,-0.01
1.471,0,-0.048
0.98,0,-0.048
1.226,0,0.042
0.981,0,0.042
1.472,0,-0.048
0.736,0,0.079
1.473,0,-0.01
0.981,0,-0.01
1.227,0,0.042
0.982,0,0.042
1.716,0,0.004
1.226,0,0.131
1.228,0,0.042
1.471,0,-0.048
0.982,0,-0.01
0.982,0,0.079
0.981,0,-0.01
0.981,0,-0.1
1.226,0,0.079
1.226,0,-0.1
0.981,0,-0.01
1.226,0,0.042
0.981,0,-0.048
1.471,0,-0.01
1.471,0,-0.01
1.472,0,0.042
0.49,0,0.042
0.49,0,0.093
1.226,0,0.042
1.472,0,-0.1
1.472,0,0.042
0.735,0,-0.062
1.472,0,0.042
1.226,0,-0.048
0.982,0,-0.151
1.226,0,-0.01
0.982,0,-0.1
1.226,0,0.079
1.227,0,-0.048
0.736,0,-0.1
1.472,0,0.042
0.982,0,0.042
0.98,0,0.004
1.227,0,0.042
0.982,0,-0.01
0.982,0,-0.01
1.471,0,0.042
0.981,0,-0.1
1.226,0,0.042
1.227,0,0.042
1.227,0,0.079
1.227,0,-0.1
1.471,0,-0.01
1.226,0,0.027
1.227,0,0.042
0.981,0,-0.138
0.49,0,0.042
0.736,0,-0.01
1.471,0,-0.01
0.981,0,0.042
0.736,0,-0.01
1.227,0,0.042
1.227,0,-0.01
0.736,0,-0.01
0.981,0,-0.01
1.472,0,0.079
1.227,0,-0.1
1.471,0,0.042
0.49,0,-0.01
1.226,0,-0.19
1.226,0,-0.01
1.226,0,0.042
1.471,0,0.042
0.982,0,0.004
0.735,0,0.042
1.226,0,0.042
1.718,0,-0.01
1.226,0,-0.01
1.472,0,0.079
1.227,0,0.042
1.227,0,0.079
0.735,0,0.042
0.982,0,0.042
0.735,0,-0.048
0.736,0,0.079
1.227,0,-0.01
1.227,0,-0.048
0.735,0,0.093
0.736,0,-0.048
1.471,0,-0.1
1.472,0,-0.062
1.228,0,0.042
1.227,0,-0.062
1.964,0,-0.01
0.981,0,0.131
0.981,0,-0.01
1.226,0,0.042
1.718,0,0.131
1.472,0,-0.048
0.49,0,-0.1
0.981,0,-0.01
1.227,0,-0.01
1.225,0,0.042
0.981,0,-0.1
0.736,0,0.131
0.736,0,0.042
0.736,0,-0.01
1.226,0,-0.01
0.736,0,-0.01
0.981,0,0.042
1.227,0,0.079
1.471,0,-0.475
0.982,0,0.042
1.227,0,0.042
0.736,0,0.042
1.226,0,-0.1
0.981,0,-0.01
1.226,0,0.131
1.227,0,-0.048
0.736,0,-0.1
0.98,0,0.079
1.226,0,-0.1
1.227,0,-0.01
1.227,0,0.004
0.981,0,-0.01
0.982,0,-0.01
1.227,0,0.182
1.472,0,-0.048
1.226,0,0.042
1.227,0,0.042
1.227,0,0.079
1.226,0,-0.01
1.226,0,0.042
0.736,0,-0.01
1.226,0,0.079
0.736,0,-0.1
1.227,0,-0.01
1.226,0,-0.062
0.981,0,-0.062
0.736,0,0.093
0.49,0,0.131
0.49,0,0.042
1.718,0,-0.01
1.472,0,0.131
1.227,0,0.042
1.227,0,0.042
1.227,0,0.079
1.471,0,0.042
1.226,0,0.042
1.227,0,0.042
0.736,0,-0.01
0.981,0,0.042
0.981,0,0.079
1.227,0,-0.01
1.227,0,0.042
1.472,0,0.042
0.98,0,-0.01
1.226,0,0.042
1.227,0,0.131
1.472,0,0.131
1.226,0,0.079
0.735,0,-0.271
1.472,0,0.042
1.472,0,0.042
0.736,0,0.042
0.736,0,0.042
1.472,0,-0.01
1.472,0,0.303
1.227,0,-0.048
0.98,0,-0.01
0.735,0,-0.01
1.226,0,-0.048
1.472,0,-0.048
0.49,0,-0.01
1.226,0,-0.01
0.982,0,-0.01
0.736,0,0.042
1.227,0,-0.048
0.735,0,0.042
0.735,0,-0.048
0.49,0,-0.1
0.735,0,-0.048
1.471,0,-0.062
0.735,0,-0.062
0.982,0,-0.048
1.226,0,-0.01
0.982,0,0.042
1.471,0,0.093
1.226,0,-0.01
1.472,0,-0.01
0.982,0,-0.1
1.471,0,-0.01
1.227,0,0.004
0.981,0,0.042
1.472,0,0.042
0.982,0,-0.062
0.981,0,-0.1
0.982,0,-0.1
1.227,0,0.042
1.472,0,-0.01
0.736,0,-0.01
1.226,0,0.042
0.98,0,-0.01
1.472,0,-0.1
0.735,0,-0.048
1.227,0,-0.1
1.227,0,0.093
0.735,0,0.004
0.98,0,-0.1
0.982,0,0.004
1.227,0,-0.01
1.471,0,-0.01
1.226,0,0.042
1.228,0,-0.01
1.472,0,0.042
1.227,0,0.042
1.226,0,-0.01
0.736,0,-0.1
1.227,0,-0.1
1.227,0,-0.1
1.472,0,-0.01
0.981,0,-0.01
0.982,0,0.093
1.227,0,-0.1
0.49,0,0.042
0.49,0,-0.114
1.227,0,0.042
0.49,0,-0.01
1.472,0,-0.1
1.227,0,-0.062
1.226,0,-0.151
1.228,0,-0.1
1.472,0,0.004
1.227,0,-0.048
1.227,0,-0.01
0.49,0,-0.01
0.735,0,-0.01
1.226,0,-0.01
0.735,0,-0.01
1.471,0,-0.01
0.736,0,-0.062
1.227,0,0.042
1.226,0,0.042
1.227,0,-0.01
1.227,0,0.093
0.98,0,-0.01
1.226,0,0.042
0.736,0,0.042
1.472,0,-0.1
1.471,0,0.093
1.472,0,0.042
1.718,0,-0.01
0.981,0,0.004
1.471,0,0.042
1.472,0,-0.01
1.472,0,0.079
1.227,0,-0.048
0.981,0,0.042
1.226,0,0.042
0.736,0,0.042
0.736,0,0.042
0.981,0,-0.28
1.472,0,-0.01
0.49,0,0.042
1.473,0,0.042
0.735,0,0.042
1.471,0,0.042
1.471,0,0.182
0.736,0,0.093
0.982,0,0.079
1.227,0,0.093
1.471,0,-0.1
1.471,0,0.042
1.718,0,-0.01
1.227,0,0.027
1.472,0,-0.01
1.472,0,-0.114
1.473,0,0.131
1.472,0,0.042
1.471,0,0.042
1.474,0,0.042
0.981,0,-0.01
1.471,0,-0.01
0.736,0,0.079
0.981,0,-0.01
0.981,0,-0.01
1.471,0,0.042
0.736,0,0.027
0.982,0,0.042
0.98,0,-0.062
0.981,0,0.221
0.735,0,0.272
1.227,0,0.183
0.98,0,0.131
1.473,0,0.079
0.49,0,0.131
1.227,0,0.131
1.226,0,0.131
0.735,0.209,0.131
0.981,0.209,0.168
0.98,0.209,0.078
1.225,-0.314,0.167
1.227,0,0.275
0.981,0,0.203
1.226,0,0.167
1.471,0,0.221
0.736,0,0.275
0.736,0,0.078
0.982,0,0.275
0.982,0,0.167
1.227,0,0.167
0.981,0,0.221
0.736,0,0.221
1.227,0.209,0.132
0.736,0.209,0.167
1.227,0.209,0.255
1.471,0,0.221
1.471,0,0.31
1.226,0,0.398
1.472,0,0.31
1.471,0,0.31
0.981,0,0.077
1.471,0,0.221
0.981,0,0.166
0.982,0,0.31
1.227,0,0.221
0.735,0,0.277
0.736,0,0.31
1.472,0,0.255
0.735,0,0.221
1.471,0,0.255
0.982,0,0.255
1.227,0,0.221
1.227,0,0.188
0.736,0,0.277
0.736,0,0.221
0.736,0,0.221
1.227,0,0.277
1.227,0,0.221
1.226,0,0.221
1.227,0,0.221
1.472,0,0.166
1.226,0,0.221
0.736,0,0.31
1.227,0,0.221
1.472,0,0.133
0.735,0,0.166
0.735,0,0.133
1.227,0,0.188
1.227,0,0.221
1.471,0,0.133
1.471,0,0.166
1.227,0,0.133
0.49,0,0.133
1.227,0,0.31
1.471,0,0.277
0.981,0,0.166
0.49,0,0.255
1.471,-0.314,0.365
1.226,-0.314,0.132
1.227,0,0.077
0.98,0,0.022
0.981,0,0.022
0.49,0,0.167
1.226,0,0.132
0.736,-0.524,0.043
1.471,0,0.043
1.226,0,0.221
0.98,-0.524,-0.011
1.471,-0.314,0.043
0.982,0,0.132
0.98,0,0.221
1.226,0,0.078
0.736,0,0.043
0.736,0,-0.1
1.225,0,0.043
0.736,-0.314,0.043
1.226,0,0.043
0.982,0,0.132
0.49,0,-0.048
1.227,0,-0.011
0.736,0,-0.011
0.736,-0.524,-0.101
0.735,-0.314,0.042
1.226,-0.314,0.004
1.471,-0.314,-0.048
0.735,0,-0.19
0.735,0,-0.19
1.226,0,-0.01
1.226,0,-0.138
0.981,0,-0.1
1.227,0,-0.242
1.226,0,-0.228
1.226,0,-0.1
1.473,-0.314,-0.1
0.736,0,-0.048
1.471,0,-0.138
1.227,-0.314,-0.01
1.227,-0.314,-0.189
0.735,-0.314,-0.099
1.226,0,-0.099
1.471,0,-0.189
0.98,0,-0.229
0.49,0,-0.28
1.471,0,-0.28
0.736,0,-0.099
1.227,0,-0.189
1.227,0,-0.229
1.472,0,-0.189
1.227,-0.524,-0.229
1.472,-0.314,-0.189
1.227,-0.314,-0.14
0.49,0,-0.238
1.226,0,-0.278
0.49,0,-0.278
0.982,0,-0.238
1.472,0,-0.189
1.471,0,-0.229
1.226,0,-0.238
1.472,0,-0.238
1.472,0,-0.326
0.735,0,-0.14
0.736,0,-0.278
1.227,0,-0.369
0.981,0,-0.326
1.472,0,-0.189
1.227,-0.314,-0.278
1.226,-0.314,-0.232
0.982,0,-0.188
1.226,0,-0.184
0.98,0,-0.188
0.735,0,-0.278
1.716,0,-0.278
0.736,0,-0.232
1.225,0,-0.188
1.228,0,-0.278
1.718,0,-0.145
0.735,0,-0.278
1.474,0,-0.326
1.226,0,-0.232
1.227,0,-0.278
1.472,0,-0.236
0.981,0,-0.232
1.226,0,-0.278
1.226,0,-0.232
0.49,0,-0.326
1.227,0,-0.189
0.736,0,-0.278
0.98,0,-0.237
1.472,0,-0.189
1.473,0,-0.189
1.227,0,-0.051
1.227,0,-0.278
1.226,0,-0.326
0.736,0,-0.237
1.472,0,-0.051
1.227,0,-0.14
1.472,0,-0.14
0.98,0,-0.189
0.982,0,-0.099
1.227,0,-0.099
1.472,0,-0.189
1.226,0,-0.1
0.735,0,-0.189
1.471,0.209,-0.099
0.735,-0.314,-0.05
1.226,0,-0.01
1.226,0,-0.099
1.471,0,-0.099
1.473,0,-0.139
0.736,0,-0.099
1.472,0,-0.01
1.227,0,-0.099
1.472,0,0
1.472,0,-0.05
1.471,0,-0.01
0.735,0.209,0.04
0.981,0.209,-0.01
0.735,0,0.042
0.98,0,-0.01
1.228,0,-0.01
1.227,0,-0.1
1.474,0,-0.151
1.227,0,0.182
0.735,0,-0.1
0.981,0,-0.048
1.226,0,0.079
0.736,0,0.042
0.735,0.209,-0.011
0.735,0.209,0.042
1.471,0,0.132
1.472,0,0.079
0.981,0,0.221
1.226,0,0.132
0.49,0,0.221
1.227,0,0.221
1.471,0.209,0.024
0.735,0.209,0.132
1.226,0,0.221
1.471,0,0.221
1.471,0,0.364
0.736,0,0.167
1.226,0,0.132
0.49,0,0.078
0.736,0,0.221
1.227,0,0.167
0.982,0.209,0.167
0.736,0.209,0.222
1.471,0,0.167
1.226,0,0.222
1.471,0,0.365
1.471,0,0.277
0.735,0,0.222
1.226,0,0.222
0.49,0,0.31
1.226,0,0.222
0.735,0,0.167
0.981,0,0.167
1.226,0,0.277
0.736,0,0.31
1.226,0,0.31
1.227,0,0.222
0.735,0,0.167
1.472,0,0.255
0.735,0,0.31
1.226,0,0.31
1.226,0,0.255
1.226,0,0.454
0.736,0.209,0.221
1.226,-0.314,0.221
1.226,0,0.277
0.736,0,0.221
1.718,0,0.277
1.226,0,0.221
1.471,0,0.277
0.735,0,0.165
1.227,0,0.132
0.49,0,0.221
0.735,0,0.221
0.981,0,0.254
0.736,0,0.31
0.49,0,0.31
1.227,0,0.398
0.982,0,0.366
1.226,0,0.076
0.735,0,0.277
0.736,0,0.132
0.735,0,0.165
1.225,0,0.165
1.718,0,0.221
1.472,0,0.132
1.472,-0.314,0.221
0.736,-0.314,0.133
1.472,0,0.221
1.227,-0.314,0.132
0.735,0,0.132
0.982,0,0.077
0.736,0,0.132
1.227,0,0.132
1.227,0,0.167
1.227,0,0.132
0.98,0,0.222
1.226,0,0.044
0.981,-0.314,0.022
1.227,-0.314,0.078
1.227,-0.314,0.132
0.981,-0.314,0.132
1.472,0,0.043
1.472,0,0.132
0.735,0,0.132
0.735,0,0.078
1.227,0,0.132
1.471,0,0.043
0.736,0,0.043
0.98,0,0.043
1.472,0,0.043
0.736,-0.314,-0.048
1.227,-0.314,0.042
1.226,-0.314,-0.011
1.471,0,0.132
0.982,0,-0.011
1.226,0,-0.1
1.227,0,-0.1
1.472,0,0.042
0.98,0,-0.048
1.227,0,-0.1
0.981,0,-0.048
1.718,0,-0.1
1.227,-0.314,-0.1
0.49,-0.524,-0.138
0.735,-0.314,-0.19
1.472,0,-0.19
0.735,0,-0.1
0.982,0,-0.15
1.718,0,-0.049
1.227,0,-0.19
0.49,0,-0.19
1.226,0,-0.19
1.227,0,-0.1
1.471,0,-0.19
0.245,0,-0.1
0.736,0,-0.1
1.227,-0.524,-0.139
0.981,-0.314,-0.189
1.226,-0.314,-0.189
0.736,0,-0.278
0.98,0,-0.099
1.471,0,-0.238
1.472,0,-0.278
