I1,I2,I3
1.346,1.257,0.396
1.572,1.885,0.48
0.673,3.037,0.455
1.123,4.817,0.443
0.897,5.236,0.468
1.346,3.875,0.562
1.796,3.456,0.463
1.346,4.817,0.45
1.122,5.236,0.516
1.347,8.482,0.45
1.346,8.901,0.609
1.122,9.844,0.332
1.346,10.263,0.632
1.347,10.681,0.464
1.346,13.09,0.334
1.346,12.881,0.527
1.571,11.833,0.437
1.796,14.451,0.408
1.346,17.488,0.482
1.347,17.907,0.391
1.572,19.478,0.438
1.569,15.499,0.443
1.12,16.336,0.453
1.796,21.468,0.599
1.569,21.677,0.338
0.897,21.468,0.33
1.795,17.279,0.411
1.122,21.886,0.57
0.897,22.515,0.436
1.571,25.133,0.381
1.122,21.677,0.298
1.795,25.342,0.385
1.571,27.751,0.25
1.571,24.714,0.353
1.345,23.667,0.425
0.673,25.761,0.387
1.571,29.112,0.417
0.896,24.923,0.278
1.121,28.484,0.157
1.122,31.311,0.308
1.121,25.133,0.262
1.569,28.484,0.316
1.345,32.149,0.358
1.571,26.075,0.302
1.795,29.531,0.327
1.344,34.976,0.331
1.346,29.74,0.377
1.346,28.484,0.315
1.571,35.186,0.42
1.121,31.94,0.293
1.346,27.122,0.326
1.122,38.537,0.419
1.796,31.94,0.244
1.12,28.17,0.388
0.896,35.5,0.364
1.796,33.301,0.156
1.345,33.301,0.306
1.346,34.976,0.503
1.346,34.139,0.323
1.571,31.94,0.293
1.571,36.338,0.311
1.572,34.976,0.249
1.346,32.777,0.253
1.12,36.757,0.306
1.12,33.301,0.344
1.121,35.709,0.157
1.796,37.176,0.232
1.569,31.73,0.46
1.346,36.547,0.438
1.571,37.176,0.32
1.12,34.558,0.315
1.569,39.165,0.2
1.345,32.987,0.376
1.794,36.338,0.386
1.346,38.118,0.605
1.346,34.767,0.232
1.122,39.165,0.31
1.345,33.72,0.273
1.346,40.736,0.205
1.346,33.929,0.281
1.121,36.338,0.292
1.121,41.574,0.32
1.571,34.976,0.236
1.571,39.375,0.383
1.571,38.537,0.309
1.569,31.94,0.221
1.346,43.773,0.278
1.794,32.987,0.317
1.571,39.165,0.275
1.571,39.794,0.308
1.346,37.594,0.248
1.122,39.375,0.334
1.346,38.118,0.21
1.569,35.5,0.28
1.121,40.527,0.244
1.345,37.594,0.282
1.569,39.375,0.249
0.897,39.165,0.33
1.12,35.5,0.197
1.796,41.155,0.195
1.12,34.976,0.26
1.345,39.165,0.387
1.121,39.165,0.375
1.346,38.118,0.242
1.572,41.155,0.345
0.898,35.5,0.273
1.794,40.003,0.205
1.571,35.709,0.294
1.572,40.527,0.348
1.12,36.128,0.348
1.346,39.794,0.348
1.345,40.317,0.311
1.121,35.5,0.154
1.346,42.935,0.291
1.121,37.385,0.334
1.346,37.385,0.21
1.345,42.202,0.339
1.345,32.987,0.237
1.346,45.553,0.264
1.345,36.128,0.255
1.121,40.003,0.277
0.897,41.364,0.233
1.347,39.165,0.254
1.345,40.527,0.244
0.897,39.375,0.211
1.346,36.128,0.262
1.571,41.574,0.24
1.794,38.327,0.264
1.346,41.783,0.304
1.569,38.537,0.294
1.121,40.317,0.31
1.346,40.736,0.256
1.12,36.547,0.421
1.121,40.945,0.283
1.571,36.547,0.27
1.569,41.783,0.343
0.897,38.746,0.262
1.346,38.956,0.348
1.795,42.412,0.229
1.571,36.547,0.076
1.345,41.574,0.295
1.796,36.338,0.243
1.346,43.354,0.415
1.345,34.976,0.206
1.569,40.317,0.35
1.346,40.945,0.374
1.569,36.757,0.166
1.795,44.611,0.206
1.12,35.919,0.243
1.571,42.202,0.264
1.346,40.317,0.239
1.571,36.128,0.211
1.569,42.726,0.397
1.795,36.757,0.188
1.571,41.364,0.26
1.571,40.317,0.287
1.347,37.385,0.3
0.896,42.726,0.157
1.571,39.165,0.339
1.346,40.945,0.319
1.345,40.317,0.238
1.794,37.909,0.232
1.121,42.202,0.233
1.345,36.128,0.286
1.121,41.155,0.294
1.569,38.327,0.216
1.569,41.364,0.338
1.571,40.317,0.262
1.122,38.327,0.28
1.346,42.412,0.267
1.795,36.338,0.325
0.672,42.202,0.298
1.346,35.919,0.35
1.571,43.563,0.32
1.346,35.919,0.343
1.571,39.794,0.275
1.121,41.993,0.282
1.571,36.966,0.258
1.571,44.401,0.365
1.569,36.547,0.004
1.568,40.527,0.21
1.571,41.364,0.47
1.121,34.976,0.211
1.345,42.935,0.303
0.896,37.176,0.276
1.569,40.945,0.28
1.346,40.003,0.303
1.571,37.594,0.118
1.345,41.783,0.28
1.571,39.375,0.289
1.571,39.584,0.31
1.569,40.736,0.232
1.569,35.5,0.431
1.569,42.412,0.19
1.346,35.919,0.198
1.346,39.794,0.306
1.346,39.794,0.284
1.345,38.537,0.269
1.121,41.783,0.32
1.346,36.128,0.41
1.571,41.155,0.295
1.346,36.966,0.118
1.796,40.317,0.039
1.346,35.919,0.253
1.569,40.527,0.305
1.569,39.165,0.205
1.795,36.128,0.33
1.571,43.563,0.292
1.122,36.966,0.319
1.572,38.956,0.323
1.571,41.155,0.255
1.123,32.987,0.295
1.571,45.763,0.286
1.346,34.558,0.306
1.571,40.736,0.24
1.347,38.327,0.242
1.572,38.746,0.248
1.571,39.584,0.333
0.897,38.327,0.289
1.121,36.966,0.344
1.571,39.584,0.266
1.346,36.757,0.277
1.346,40.527,0.303
1.345,36.338,0.255
1.571,39.375,0.155
2.021,39.794,0.281
1.569,35.186,0.284
1.571,39.584,0.287
1.571,35.919,0.284
1.795,40.003,0.321
1.345,38.956,0.245
1.121,36.757,0.157
1.571,41.364,0.438
1.571,35.186,0.204
1.346,41.364,0.148
0.673,34.348,0.253
1.121,41.364,0.393
1.122,36.757,0.286
1.345,36.757,0.309
1.569,43.145,0.264
1.571,36.338,0.179
1.122,40.003,0.276
1.569,40.317,0.305
1.12,33.51,0.543
1.571,44.611,0.302
1.123,33.51,0.348
1.795,41.364,0.433
1.794,39.584,0.156
1.346,38.746,0.237
1.571,40.527,0.248
1.571,38.956,0.233
1.346,36.757,0.254
1.571,40.527,0.341
1.572,37.909,0.247
1.569,41.364,0.305
1.794,37.176,0.226
1.795,41.155,0.188
